Time (seconds),Requests,Throughput (requests/second),Minimum Latency (microseconds),25th Percentile Latency (microseconds),Median Latency (microseconds),Average Latency (microseconds),75th Percentile Latency (microseconds),90th Percentile Latency (microseconds),95th Percentile Latency (microseconds),99th Percentile Latency (microseconds),Maximum Latency (microseconds)
0,424,424.000,1465,13427,27880,38002,53602,85168,102664,145295,167705
1,1392,1392.000,693,5040,8938,11447,14674,24830,28564,36008,62761
2,1599,1599.000,725,4697,8226,10044,11712,20872,27714,37184,75266
3,1503,1503.000,718,5285,8312,10668,12107,21875,28147,45710,78824
4,1970,1970.000,636,4876,7491,8091,10385,12991,16314,22677,41610
5,1975,1975.000,605,4945,7275,8051,10246,13757,16866,23675,37837
6,1998,1998.000,646,5066,7336,7995,10305,13175,15470,24209,37041
7,1951,1951.000,640,5155,7663,8207,10382,13191,16075,23985,37102
8,642,642.000,628,5370,7963,33800,10953,16344,22915,1022819,1027229
9,729,729.000,554,4883,7064,23120,9754,13623,16604,720685,727947
10,1016,1016.000,629,4718,6910,11498,9562,12666,16415,261821,274300
11,1167,1167.000,587,4709,7039,11759,9941,14962,19726,265659,274451
12,1109,1109.000,546,4405,6543,14422,9677,14478,19725,420165,429362
13,190,190.000,723,4464,7105,84221,10071,16042,922330,928494,928932
14,1082,1082.000,646,4353,6396,14767,9227,11877,15805,516633,527214
15,633,633.000,559,4282,6214,35357,9217,14519,519081,619601,627219
16,418,418.000,678,4875,7948,23551,9976,13702,22579,421356,429343
17,927,927.000,601,5002,7451,23826,10366,15452,20886,517083,521277
18,726,726.000,610,4271,6634,13445,9983,15153,23578,269887,276685
19,836,836.000,622,4515,6919,21171,9846,12503,16595,620271,637080
20,810,810.000,523,4538,7370,17555,10001,14804,20018,370039,391648
21,660,660.000,596,4778,7759,25214,10140,14629,21107,419503,430000
22,1052,1052.000,641,4730,7322,16203,9992,13911,18328,417028,425960
23,1004,1004.000,614,4437,7284,24859,10254,15393,23199,817950,823250
24,52,52.000,645,4989,8399,256889,818823,820303,822283,829362,829362
25,1000,1000.000,592,4237,6473,7963,9769,14750,19720,32525,56982
26,942,942.000,583,4385,7030,25109,10207,14073,16544,1019846,1127640
27,830,830.000,580,4365,6970,17938,10132,16206,22993,518677,521963
28,1187,1187.000,578,4621,7531,7937,10054,13940,16135,22054,28240
29,1145,1145.000,612,4780,7190,18313,10126,13052,17308,719272,725272
30,183,183.000,608,4728,7347,78189,9540,15574,817592,825780,827041
31,1750,1750.000,534,4349,6398,8100,9230,12292,15459,35998,122280
32,555,555.000,601,4551,6884,31261,9718,15569,26825,822533,827665
33,84,84.000,744,7569,9527,182696,16367,918493,921063,926407,926407
34,1763,1763.000,504,4245,6299,7843,9053,11761,15202,34105,117171
35,609,609.000,592,4324,6158,33951,9546,14311,20442,1021309,1068543
36,478,478.000,526,4399,7168,26185,11065,26459,36826,520720,522431
37,1411,1411.000,578,4313,6642,10486,9952,14373,16625,261660,273425
38,432,432.000,566,4899,7231,44947,9766,12534,17023,1025671,1027229
39,369,369.000,637,4753,7203,34148,10443,14524,20624,621442,635935
40,1805,1805.000,579,4591,7544,8840,10050,13317,17338,61659,84163
41,167,167.000,649,4634,8095,171541,12739,743536,1019764,1027468,1648736
42,442,442.000,465,4592,7582,7698,9786,11981,14322,19082,35013
43,1762,1762.000,569,4403,6949,17135,9605,12749,16024,76671,1055537
44,231,231.000,587,4541,7146,7510,9938,12614,14216,18276,30291
45,827,827.000,582,4347,6714,19372,9829,13282,17460,618266,631088
46,1181,1181.000,572,4730,7820,20058,10373,14249,17824,722517,726284
47,52,52.000,717,8093,9032,319572,1016173,1020757,1022712,1027305,1027305
48,965,965.000,584,4569,7056,7941,9702,13123,18330,27302,36611
49,743,743.000,632,4343,7091,29101,9925,12638,15222,1023099,1029580
50,828,828.000,560,4816,7150,19444,9971,12321,17238,622253,628535
51,1436,1436.000,545,4284,6390,7157,9178,12015,15295,20909,36275
52,637,637.000,562,4646,7684,31587,10992,15919,133660,822606,827297
53,33,33.000,623,6088,9406,449263,920457,923653,927661,927922,927922
54,1672,1672.000,604,4381,7066,7785,9702,14026,16955,25488,48217
55,870,870.000,590,4282,6506,28832,9340,12537,15856,1020548,1030772
56,311,311.000,662,4541,7521,39095,10416,13669,615272,621280,627734
57,1426,1426.000,599,4539,6914,7532,9640,13039,15210,19493,30138
58,914,914.000,529,4532,7649,21940,10192,13525,18554,620391,646838
59,51,51.000,645,4291,8186,7769,10772,13714,19212,21748,21748
